address,whale_score,total_volume_usd,daily_volume_usd,tx_count,avg_tx_size_usd,tokens_traded,days_active
0x8a25d8c9fa8c7a726137f2d618d85cbc2c083f78,260.29,1609628.65,1609628.65,1,1609628.65,WBTC,1
0x5ee5bf7ae06d1be5997a1a72006fe6c607ec6de8,260.29,1609628.65,1609628.65,1,1609628.65,WBTC,1
0x637d231a2c854904a39d36f495686f97dead7374,84.43,541732.0,541732.0,2,270866.0,USDT,1
